CountryName,year,gdp_per_capita,gini_index,education_spending,urbanization_rate,unemployment_rate
Greece,2019,19335.3602002969,33.1,3.55062007904053,78.1888100466875,17.045
Greenland,2012,45936.9562817724,,,84.8864593505859,
Greenland,2019,53309.2035905065,,,87.0217895507812,
Grenada,2012,7092.71985352677,,5.07225880686028,35.8652755773132,
Grenada,2019,10462.7929159533,,,36.1346465679904,
Guam,2012,31653.7506538168,,,94.0777276704115,12.2
Guam,2019,39274.9431424899,,,94.0799802498939,5.405
Guatemala,2012,3286.61959336267,,3.00524997711182,52.3523385176,2.765
Guatemala,2019,4511.99839552697,,3.19297003746033,54.1882267267974,2.193
Guinea,2012,699.353377212197,33.7,1.83369994163513,34.3313936933767,4.874
Guinea,2019,1031.34146480732,,1.85811996459961,36.1281547546387,5.018
Guinea-Bissau,2012,635.461653303881,,1.8863799571991,40.8686027526855,3.135
Guinea-Bissau,2019,811.216425885129,,,43.8745574951172,2.413
Guyana,2012,5444.39751913913,,2.24131989479065,26.3999996185303,12.029
Guyana,2019,6405.82443444562,,,26.4258834773058,13.172
Haiti,2012,1361.39396587374,41.1,,47.4314843495779,14.1
Haiti,2019,1352.17204191532,,1.08414978067408,52.0069059952475,14.095
Heavily indebted poor countries (HIPC),2012,881.192621901094,,3.04694497585296,32.5841925844927,4.55871731026607
Heavily indebted poor countries (HIPC),2019,983.900062178744,,3.24268818288225,35.6138460414847,4.32712993411352
High income,2012,38693.845536167,,4.78232002258301,79.0761338947917,7.72288058823355
High income,2019,41342.2066107349,,4.62744498252868,79.6868467579363,4.76095722276823
Honduras,2012,2126.03474686503,53.4,6.29972793577391,52.6641557109031,3.755
Honduras,2019,2502.32744328073,48.2,5.98198266311593,56.3791561389766,5.698
"Hong Kong SAR, China",2012,36730.796195815,,3.50960993766785,100.0,3.285
"Hong Kong SAR, China",2019,48359.0011950597,,3.81017994880676,100.0,2.917
Hungary,2012,12950.1594488143,30.8,4.15359020233154,69.5772326660156,11.003
Hungary,2019,17012.8598553199,,4.20140981674194,70.4565277099609,3.411
IBRD only,2012,5617.65268604461,,4.23196166059346,51.7855203403866,6.18009390756913
